"","rain_total","wind_max","track_min_dist","ls_risk_pct","ss_risk_pct","blue_ss_frac","blue_ls_frac","red_ls_frac","orange_ls_frac","yellow_ss_frac","red_ss_frac","orange_ss_frac","yellow_ls_frac","slope_mean","elev_mean","ruggedness_sd","ruggedness_mean","slope_sd","has_coast","coast_length","roof_strong_wall_strong","roof_strong_wall_light","roof_strong_wall_salv","roof_light_wall_strong","roof_light_wall_light","roof_light_wall_salv","roof_salv_wall_strong","roof_salv_wall_light","roof_salv_wall_salv","damage_perc","region","island_groups","damage_binary","wind_blue_ss","wind_yellow_ss","wind_orange_ss","wind_red_ss","rain_blue_ss","rain_yellow_ss","rain_orange_ss","rain_red_ss"
"1",183.5,58.9062187018526,1.26872562245841,1.65,18.26,18.2,1.65,0.1,0.03,1.52,18.26,0,0,3.96,52.99,14.19,24.02,3.06,1,24426,25.1658213031604,2.8384705423332,0.0097541943035505,17.6355833008194,53.8431525555989,0.214592274678112,0.019508388607101,0.0780335544284042,0.0780335544284042,12.4853687085447,"Bicol Region","Luzon",1,1072.09318037372,89.537452426816,0,1075.62755349583,97.1952608580568,0,1.76718656105558,5.89062187018526
"2",237.425,58.9248808579862,7.85107491393429,0.97,1.13,1.13,0.97,0.01,0,0.97,1.13,0,0,5.28,28.38,19.48,28.36,4.24,1,4952,28.5587975243148,2.16622458001768,0.26525198938992,12.9973474801061,54.7303271441203,0.530503978779841,0,0.04420866489832,0.26525198938992,98.5411140583554,"Eastern Visayas","Visayas",1,66.5851153695244,57.1571344322466,0,66.5851153695244,57.1571344322466,0,0,0.589248808579862
"3",181.1,65.0989103090337,29.0288904040341,0,0,0,0,0,0,0,0,0,0,5.53,61.37,18.84,28.73,4.02,1,52838,50.3515232674925,38.1653833277536,0.903916973552059,0.435219283562102,8.26916638767995,0.100435219283562,0.033478406427854,0.736524941412789,0.602611315701373,24.6735855373284,"Central Visayas","Visayas",1,0,0,0,0,0,0,0,0
"4",157.1,65.0825456904881,12.6832696106858,0,0,0,0,0,0,0,0,0,0,6.36,257.85,43.76,31.52,8.82,0,0,49.1097442538038,13.5426783209237,0.388475234703788,2.33085140822273,32.5995467788928,0.302147404769613,0.0647458724506312,0.140282723643034,0.733786554440488,12.2801338081364,"Bicol Region","Luzon",1,0,0,0,0,0,0,0,0
"5",185.578571428571,70.5185260105582,14.8362743147669,0,0,0,0,0,0,0,0,0,0,2.34,51.76,10.58,13.87,2.2,0,0,18.4309108423419,67.7619608262871,0.139141603339398,0.288986406935674,12.5013379000321,0.117735202825645,0,0.149844803596275,0.0321096007706304,34.7318848335652,"Caraga","Mindanao",1,0,0,0,0,0,0,0,0
"6",248.60625,46.3855870812242,42.9799742730264,2.23,0.33,0.33,2.23,0.03,0,2.2,0.33,0,0,5.19,58.86,17.48,28.05,3.76,1,126513,26.3672471738466,14.6247072003259,0.0916590284142988,3.3710153783481,52.8465220490885,0.234239739280986,0.0407373459619105,0.264792748752419,1.71096853040024,28.0782157042469,"Bicol Region","Luzon",1,15.307243736804,102.048291578693,0,15.307243736804,103.43985919113,0,0,1.39156761243673
"7",266.325,49.4786218977316,23.367179829522,0.9,0,0,0.9,0.9,0,0,0,0,0,10.25,83.41,27.97,50.53,6.27,1,69390,34.5432174715472,36.081205782836,0,1.78406644109505,27.3761919409412,0,0,0.09227929867733,0,28.3297446939403,"Eastern Visayas","Visayas",1,0,0,0,0,44.5307597079584,0,0,44.5307597079584
"8",46.1375,10.0487194763309,224.479051661079,0.71,24.32,24.3,0.71,0,0,0.71,24.18,0.11,0.03,5.83,122.29,30.66,29.28,6.57,1,6823,88.5201599827046,6.70197816452275,0.151334990811804,0.659388174251432,3.37260836666306,0.0324289266025294,0.0216192844016863,0.0864771376067452,0.237812128418549,16.8306129067128,"Central Luzon","Luzon",1,244.183883274841,7.13459082819494,1.1053591423964,242.978036937681,7.13459082819494,0.301461584289927,0,0
"9",178.775,72.7186963386987,8.56219069507468,0,0,0,0,0,0,0,0,0,0,3.08,140.19,29.38,15.87,5.82,0,0,60.8958033440372,8.11095116819843,0.232532388439818,4.58420994352785,24.3992913298638,0.271287786513121,0.138412135976082,0.155021592293212,0.326652640903554,13.8412135976082,"Bicol Region","Luzon",1,0,0,0,0,0,0,0,0
"10",170.788888888889,76.4251413531666,40.7185086887746,0.08,0,0,0.08,0.08,0,0,0,0,0,4.51,36.3,21.78,24.91,4.53,1,57621,24.4676030811056,31.4000906207522,1.72179429089261,1.0081558676937,39.8278205709107,0.385138196647032,0.0679655641141821,0.385138196647032,0.453103760761214,13.0833710919801,"Eastern Visayas","Visayas",1,0,0,0,0,6.11401130825333,0,0,6.11401130825333
